X,OBSERVATION,PARTICIPANT,PRETEST,PRE_FAMILIAR,AGE,GENDER,NATIONALITY,ENGLISH,POSTTEST,GENERATION,RECALL,CHAIN,CONDITION,CONDITION.2,ORDER,SOURCE,VIEW,PRESTIGE,RELEVANCE,T_RECALL,T_SOURCE
1,129,65,0,3,34,female,1,1,2,F1,5,CH17,C2,C,FIRST,CLEANER,PROTABLETS,2,3,78.07,46.882
2,130,65,0,3,34,female,1,1,2,F1,5,CH17,C2,C,SECOND,PILOT,ANTITABLETS,4,3,120.661,
1,131,66,-3,3,37,female,1,1,-3,F2,1,CH17,C2,C,FIRST,CLEANER,PROTABLETS,3,-1,178.456,40.837
2,132,66,-3,3,37,female,1,1,-3,F2,4,CH17,C2,C,SECOND,PILOT,ANTITABLETS,3,2,63.171,47.103
1,133,67,-1,2,33,female,1,1,-2,F3,0,CH17,C2,C,FIRST,CLEANER,PROTABLETS,2,-1,72.366,18.764
2,134,67,-1,2,33,female,1,1,-2,F3,2,CH17,C2,C,SECOND,PILOT,ANTITABLETS,4,2,39.423,27.921
1,135,68,-2,3,43,female,1,1,-1,F4,0,CH17,C2,C,FIRST,CLEANER,PROTABLETS,2,1,133.929,37.857
2,136,68,-2,3,43,female,1,1,-1,F4,2,CH17,C2,C,SECOND,PILOT,ANTITABLETS,3,2,49.966,23.483
1,137,69,-1,2,49,female,1,1,0,F1,3,CH18,C2,C,FIRST,CLEANER,PROTABLETS,2,2,116.588,57.262
2,138,69,-1,2,49,female,1,1,0,F1,4,CH18,C2,C,SECOND,PILOT,ANTITABLETS,2,2,119.576,52.32
1,139,70,-3,2,25,female,1,1,1,F2,3,CH18,C2,C,FIRST,CLEANER,PROTABLETS,1,3,67.321,24.489
2,140,70,-3,2,25,female,1,1,1,F2,4,CH18,C2,C,SECOND,PILOT,ANTITABLETS,1,3,80.403,26.893
1,141,71,-1,2,43,female,1,1,-1,F3,2,CH18,C2,C,FIRST,CLEANER,PROTABLETS,2,-1,45.927,14.341
2,142,71,-1,2,43,female,1,1,-1,F3,2,CH18,C2,C,SECOND,PILOT,ANTITABLETS,3,-1,55.447,12.789
1,143,72,-1,3,57,female,1,1,-1,F4,2,CH18,C2,C,FIRST,CLEANER,PROTABLETS,2,1,188.654,82.566
2,144,72,-1,3,57,female,1,1,-1,F4,2,CH18,C2,C,SECOND,PILOT,ANTITABLETS,3,1,180.676,75.494
1,145,73,0,3,42,female,1,1,0,F1,5,CH19,C2,C,FIRST,CLEANER,PROTABLETS,3,1,116.012,22.516
2,146,73,0,3,42,female,1,1,0,F1,6,CH19,C2,C,SECOND,PILOT,ANTITABLETS,4,1,72.061,21.281
1,147,74,-3,3,34,female,1,1,-3,F2,3,CH19,C2,C,FIRST,CLEANER,PROTABLETS,1,3,149.408,35.266
2,148,74,-3,3,34,female,1,1,-3,F2,4,CH19,C2,C,SECOND,PILOT,ANTITABLETS,3,3,146.706,16.944
1,149,75,-1,3,30,female,1,1,-2,F3,3,CH19,C2,C,FIRST,CLEANER,PROTABLETS,3,-2,156.605,24.083
2,150,75,-1,3,30,female,1,1,-2,F3,5,CH19,C2,C,SECOND,PILOT,ANTITABLETS,4,-2,174.518,19.912
1,151,76,-1,3,29,female,1,1,0,F4,2,CH19,C2,C,FIRST,CLEANER,PROTABLETS,1,0,60.263,21.79
2,152,76,-1,3,29,female,1,1,0,F4,3,CH19,C2,C,SECOND,PILOT,ANTITABLETS,3,0,51.986,20.246
1,153,77,-1,3,27,female,1,1,2,F1,3,CH20,C2,C,FIRST,CLEANER,PROTABLETS,3,1,147.584,27.672
2,154,77,-1,3,27,female,1,1,2,F1,3,CH20,C2,C,SECOND,PILOT,ANTITABLETS,4,1,98.462,29.929
1,155,78,-1,-2,23,female,1,1,-1,F2,3,CH20,C2,C,FIRST,CLEANER,PROTABLETS,3,1,156.281,40.787
2,156,78,-1,-2,23,female,1,1,-1,F2,3,CH20,C2,C,SECOND,PILOT,ANTITABLETS,4,1,151.213,25.66
1,157,79,-1,3,22,male,1,1,-1,F3,2,CH20,C2,C,FIRST,CLEANER,PROTABLETS,2,1,74.53,22.852
2,158,79,-1,3,22,male,1,1,-1,F3,1,CH20,C2,C,SECOND,PILOT,ANTITABLETS,4,2,70.978,23.129
1,159,80,1,3,29,male,1,1,1,F4,2,CH20,C2,C,FIRST,CLEANER,PROTABLETS,3,0,300.186,25.957
2,160,80,1,3,29,male,1,1,1,F4,1,CH20,C2,C,SECOND,PILOT,ANTITABLETS,3,0,151.795,28.625
1,161,81,-2,3,27,female,1,1,-2,F1,5,CH21,C2,C,FIRST,PILOT,ANTITABLETS,5,3,163.123,62.632
2,162,81,-2,3,27,female,1,1,-2,F1,5,CH21,C2,C,SECOND,CLEANER,PROTABLETS,3,3,139.456,45.967
1,163,82,0,3,49,female,1,1,-1,F2,5,CH21,C2,C,FIRST,PILOT,ANTITABLETS,3,1,90.808,76.301
2,164,82,0,3,49,female,1,1,-1,F2,5,CH21,C2,C,SECOND,CLEANER,PROTABLETS,3,1,114.194,18.98
1,165,83,-1,2,25,male,1,1,0,F3,5,CH21,C2,C,FIRST,PILOT,ANTITABLETS,3,-1,117.31,30.1
2,166,83,-1,2,25,male,1,1,0,F3,4,CH21,C2,C,SECOND,CLEANER,PROTABLETS,2,-2,65.812,21.021
1,167,84,-3,3,44,female,1,1,-3,F4,4,CH21,C2,C,FIRST,PILOT,ANTITABLETS,3,1,94.325,49.96
2,168,84,-3,3,44,female,1,1,-3,F4,4,CH21,C2,C,SECOND,CLEANER,PROTABLETS,1,-1,135.258,24.152
1,169,85,-2,3,46,female,1,1,-1,F1,6,CH22,C2,C,FIRST,PILOT,ANTITABLETS,3,2,116.245,32.441
2,170,85,-2,3,46,female,1,1,-1,F1,5,CH22,C2,C,SECOND,CLEANER,PROTABLETS,3,2,81.669,25.401
1,171,86,-2,3,26,female,1,1,1,F2,4,CH22,C2,C,FIRST,PILOT,ANTITABLETS,3,-1,153.422,53.88
2,172,86,-2,3,26,female,1,1,1,F2,4,CH22,C2,C,SECOND,CLEANER,PROTABLETS,1,-1,153.24,33.58
1,173,87,-3,-2,29,female,1,1,-3,F3,2,CH22,C2,C,FIRST,PILOT,ANTITABLETS,4,2,68.533,62.5
2,174,87,-3,-2,29,female,1,1,-3,F3,3,CH22,C2,C,SECOND,CLEANER,PROTABLETS,3,1,65.197,27.271
1,175,88,1,2,38,female,1,1,1,F4,2,CH22,C2,C,FIRST,PILOT,ANTITABLETS,3,1,68.996,34.994
2,176,88,1,2,38,female,1,1,1,F4,3,CH22,C2,C,SECOND,CLEANER,PROTABLETS,3,1,60.266,34.713
1,177,89,-3,2,20,male,1,1,1,F1,4,CH23,C2,C,FIRST,PILOT,ANTITABLETS,4,2,68.6,55.218
2,178,89,-3,2,20,male,1,1,1,F1,2,CH23,C2,C,SECOND,CLEANER,PROTABLETS,1,-2,55.395,33.659
1,179,90,-1,2,28,female,1,1,2,F2,5,CH23,C2,C,FIRST,PILOT,ANTITABLETS,2,-2,301.488,35.899
2,180,90,-1,2,28,female,1,1,2,F2,1,CH23,C2,C,SECOND,CLEANER,PROTABLETS,1,-1,150.939,14.565
1,181,91,-3,3,49,male,1,1,-3,F3,4,CH23,C2,C,FIRST,PILOT,ANTITABLETS,3,2,120.876,65.364
2,182,91,-3,3,49,male,1,1,-3,F3,1,CH23,C2,C,SECOND,CLEANER,PROTABLETS,2,2,34.742,15.146
1,183,92,-2,3,33,female,1,1,-2,F4,2,CH23,C2,C,FIRST,PILOT,ANTITABLETS,4,2,121.79,24.219
2,184,92,-2,3,33,female,1,1,-2,F4,1,CH23,C2,C,SECOND,CLEANER,PROTABLETS,2,-1,80.33,11.888
1,185,93,-2,2,35,female,1,1,-2,F1,6,CH24,C2,C,FIRST,PILOT,ANTITABLETS,3,0,153.658,38.256
2,186,93,-2,2,35,female,1,1,-2,F1,6,CH24,C2,C,SECOND,CLEANER,PROTABLETS,3,0,154.466,31.488
1,187,94,-1,3,28,female,1,1,-1,F2,4,CH24,C2,C,FIRST,PILOT,ANTITABLETS,2,0,155.315,50.533
2,188,94,-1,3,28,female,1,1,-1,F2,4,CH24,C2,C,SECOND,CLEANER,PROTABLETS,2,0,151.658,54.182
1,189,95,-1,3,21,male,1,1,0,F3,4,CH24,C2,C,FIRST,PILOT,ANTITABLETS,3,1,58.043,24.222
2,190,95,-1,3,21,male,1,1,0,F3,3,CH24,C2,C,SECOND,CLEANER,PROTABLETS,3,1,48.874,36.78
1,191,96,1,3,25,female,1,1,1,F4,3,CH24,C2,C,FIRST,PILOT,ANTITABLETS,3,2,52.257,22.508
2,192,96,1,3,25,female,1,1,1,F4,3,CH24,C2,C,SECOND,CLEANER,PROTABLETS,2,1,23.236,17.251
1,193,97,-2,2,33,female,1,1,-1,F1,6,CH25,C2,D,FIRST,CLEANER,ANTITABLETS,3,1,186.869,103.603
2,194,97,-2,2,33,female,1,1,-1,F1,6,CH25,C2,D,SECOND,PILOT,PROTABLETS,3,1,230.752,112.396
1,195,98,1,2,42,male,1,1,2,F2,3,CH25,C2,D,FIRST,CLEANER,ANTITABLETS,4,2,103.137,37.192
2,196,98,1,2,42,male,1,1,2,F2,2,CH25,C2,D,SECOND,PILOT,PROTABLETS,4,2,122.703,33.723
1,197,99,-1,3,53,female,1,1,-1,F3,3,CH25,C2,D,FIRST,CLEANER,ANTITABLETS,3,2,70.85,14.358
2,198,99,-1,3,53,female,1,1,-1,F3,1,CH25,C2,D,SECOND,PILOT,PROTABLETS,4,2,42.62,15.742
